index,file,true_class_idx,true_class_name,pred_class_idx,pred_class_name,true_confidence,pred_confidence
63,ILSVRC2012_val_00000064.JPEG,46,green_lizard,40,American_chameleon,0.1898,0.3316
64,ILSVRC2012_val_00000065.JPEG,842,swimming_trunks,752,racket,0.2832,0.3167
68,ILSVRC2012_val_00000069.JPEG,870,tricycle,697,pajama,0.043,0.0752
69,ILSVRC2012_val_00000070.JPEG,841,sweatshirt,929,ice_lolly,0.0004,0.3062
75,ILSVRC2012_val_00000076.JPEG,424,barbershop,454,bookshop,0.1988,0.3179
82,ILSVRC2012_val_00000083.JPEG,788,shoe_shop,642,marimba,0.0024,0.2314
83,ILSVRC2012_val_00000084.JPEG,58,water_snake,25,European_fire_salamander,0.004,0.8131
84,ILSVRC2012_val_00000085.JPEG,479,car_wheel,751,racer,0.0237,0.5015
86,ILSVRC2012_val_00000087.JPEG,369,siamang,384,indri,0.0743,0.2698
88,ILSVRC2012_val_00000089.JPEG,487,cellular_telephone,673,mouse,0.1055,0.7471
89,ILSVRC2012_val_00000090.JPEG,50,American_alligator,307,weevil,0.0235,0.6257
91,ILSVRC2012_val_00000092.JPEG,383,Madagascar_cat,384,indri,0.213,0.7302
93,ILSVRC2012_val_00000094.JPEG,780,schooner,484,catamaran,0.0965,0.7293
100,ILSVRC2012_val_00000101.JPEG,473,can_opener,435,bathtub,0.0984,0.1292
105,ILSVRC2012_val_00000106.JPEG,906,Windsor_tie,824,stole,0.2313,0.5556
109,ILSVRC2012_val_00000110.JPEG,608,jean,655,miniskirt,0.0534,0.3031
111,ILSVRC2012_val_00000112.JPEG,720,pill_bottle,951,lemon,0.0005,0.5717
113,ILSVRC2012_val_00000114.JPEG,686,oil_filter,413,assault_rifle,0.0026,0.4285
114,ILSVRC2012_val_00000115.JPEG,173,Ibizan_hound,161,basset,0.0161,0.485
117,ILSVRC2012_val_00000118.JPEG,646,maze,545,electric_fan,0.0224,0.3527
118,ILSVRC2012_val_00000119.JPEG,664,monitor,598,home_theater,0.0211,0.2114
120,ILSVRC2012_val_00000121.JPEG,718,pier,580,greenhouse,0.015,0.1622
123,ILSVRC2012_val_00000124.JPEG,392,rock_beauty,397,puffer,0.0002,0.6861
124,ILSVRC2012_val_00000125.JPEG,311,grasshopper,989,hip,0.0012,0.9288
125,ILSVRC2012_val_00000126.JPEG,457,bow_tie,650,microphone,0.1995,0.2239
127,ILSVRC2012_val_00000128.JPEG,22,bald_eagle,21,kite,0.0434,0.317
131,ILSVRC2012_val_00000132.JPEG,553,file,534,dishwasher,0.0607,0.3396
133,ILSVRC2012_val_00000134.JPEG,236,Doberman,225,malinois,0.0734,0.1207
135,ILSVRC2012_val_00000136.JPEG,343,warthog,363,armadillo,0.0,0.6029
136,ILSVRC2012_val_00000137.JPEG,528,dial_telephone,532,dining_table,0.0143,0.1112
139,ILSVRC2012_val_00000140.JPEG,558,flute,251,dalmatian,0.0002,0.0779
140,ILSVRC2012_val_00000141.JPEG,163,bloodhound,478,carton,0.0015,0.0664
141,ILSVRC2012_val_00000142.JPEG,328,sea_urchin,396,lionfish,0.3787,0.5747
145,ILSVRC2012_val_00000146.JPEG,875,trombone,971,bubble,0.1249,0.1643
146,ILSVRC2012_val_00000147.JPEG,265,toy_poodle,221,Irish_water_spaniel,0.1137,0.2822
148,ILSVRC2012_val_00000149.JPEG,590,hand-held_computer,605,iPod,0.0869,0.2928
149,ILSVRC2012_val_00000150.JPEG,975,lakeside,977,sandbar,0.0074,0.6927
150,ILSVRC2012_val_00000151.JPEG,620,laptop,617,lab_coat,0.0709,0.2366
151,ILSVRC2012_val_00000152.JPEG,637,mailbox,704,parking_meter,0.1295,0.1651
154,ILSVRC2012_val_00000155.JPEG,937,broccoli,939,zucchini,0.0569,0.1661
155,ILSVRC2012_val_00000156.JPEG,272,coyote,274,dhole,0.0001,0.8861
160,ILSVRC2012_val_00000161.JPEG,213,Irish_setter,262,Brabancon_griffon,0.0059,0.2306
161,ILSVRC2012_val_00000162.JPEG,493,chiffonier,894,wardrobe,0.0253,0.6966
163,ILSVRC2012_val_00000164.JPEG,504,coffee_mug,470,candle,0.006,0.8134
167,ILSVRC2012_val_00000168.JPEG,666,mortar,659,mixing_bowl,0.0553,0.5905
169,ILSVRC2012_val_00000170.JPEG,158,toy_terrier,171,Italian_greyhound,0.1164,0.2431
171,ILSVRC2012_val_00000172.JPEG,212,English_setter,177,Scottish_deerhound,0.2329,0.5138
174,ILSVRC2012_val_00000175.JPEG,436,beach_wagon,654,minibus,0.0386,0.2277
175,ILSVRC2012_val_00000176.JPEG,196,miniature_schnauzer,199,Scotch_terrier,0.0016,0.8774
179,ILSVRC2012_val_00000180.JPEG,230,Shetland_sheepdog,232,Border_collie,0.0108,0.6618
180,ILSVRC2012_val_00000181.JPEG,361,skunk,247,Saint_Bernard,0.0041,0.043
181,ILSVRC2012_val_00000182.JPEG,544,Dutch_oven,521,Crock_Pot,0.2532,0.2602
182,ILSVRC2012_val_00000183.JPEG,935,mashed_potato,961,dough,0.2111,0.5619
183,ILSVRC2012_val_00000184.JPEG,638,maillot,445,bikini,0.1326,0.2697
184,ILSVRC2012_val_00000185.JPEG,627,limousine,656,minivan,0.1783,0.6254
187,ILSVRC2012_val_00000188.JPEG,272,coyote,280,grey_fox,0.069,0.4199
189,ILSVRC2012_val_00000190.JPEG,584,hair_slide,522,croquet_ball,0.0474,0.1764
191,ILSVRC2012_val_00000192.JPEG,703,park_bench,448,birdhouse,0.0141,0.8337
192,ILSVRC2012_val_00000193.JPEG,449,boathouse,510,container_ship,0.1799,0.2446
193,ILSVRC2012_val_00000194.JPEG,771,safe,707,pay-phone,0.1149,0.1488
196,ILSVRC2012_val_00000197.JPEG,934,hotdog,415,bakery,0.0194,0.0781
200,ILSVRC2012_val_00000201.JPEG,704,parking_meter,466,bullet_train,0.0108,0.4581
201,ILSVRC2012_val_00000202.JPEG,457,bow_tie,790,shopping_basket,0.0209,0.1372
203,ILSVRC2012_val_00000204.JPEG,401,accordion,819,stage,0.0548,0.4317
204,ILSVRC2012_val_00000205.JPEG,827,stove,732,Polaroid_camera,0.0123,0.2236
206,ILSVRC2012_val_00000207.JPEG,146,albatross,331,hare,0.0041,0.3036
209,ILSVRC2012_val_00000210.JPEG,516,cradle,431,bassinet,0.051,0.4411
211,ILSVRC2012_val_00000212.JPEG,889,violin,678,neck_brace,0.0269,0.0828
213,ILSVRC2012_val_00000214.JPEG,978,seashore,701,parachute,0.0276,0.14
218,ILSVRC2012_val_00000219.JPEG,610,jersey,454,bookshop,0.1599,0.1957
219,ILSVRC2012_val_00000220.JPEG,254,pug,197,giant_schnauzer,0.0386,0.2509
222,ILSVRC2012_val_00000223.JPEG,473,can_opener,589,hand_blower,0.0313,0.355
225,ILSVRC2012_val_00000226.JPEG,463,bucket,522,croquet_ball,0.001,0.9304
227,ILSVRC2012_val_00000228.JPEG,173,Ibizan_hound,249,malamute,0.0,0.3793
230,ILSVRC2012_val_00000231.JPEG,125,hermit_crab,103,platypus,0.0248,0.4642
231,ILSVRC2012_val_00000232.JPEG,787,shield,497,church,0.0018,0.2447
235,ILSVRC2012_val_00000236.JPEG,1,goldfish,115,sea_slug,0.0005,0.4643
238,ILSVRC2012_val_00000239.JPEG,445,bikini,876,tub,0.0019,0.3116
239,ILSVRC2012_val_00000240.JPEG,702,parallel_bars,602,horizontal_bar,0.1229,0.2142
241,ILSVRC2012_val_00000242.JPEG,366,gorilla,342,wild_boar,0.0754,0.2682
243,ILSVRC2012_val_00000244.JPEG,764,rifle,486,cello,0.0014,0.7288
244,ILSVRC2012_val_00000245.JPEG,125,hermit_crab,52,thunder_snake,0.0258,0.2451
248,ILSVRC2012_val_00000249.JPEG,522,croquet_ball,417,balloon,0.0351,0.1946
249,ILSVRC2012_val_00000250.JPEG,493,chiffonier,894,wardrobe,0.0035,0.5586
251,ILSVRC2012_val_00000252.JPEG,720,pill_bottle,455,bottlecap,0.0077,0.9878
253,ILSVRC2012_val_00000254.JPEG,660,mobile_home,517,crane,0.0973,0.1399
259,ILSVRC2012_val_00000260.JPEG,750,quilt,208,Labrador_retriever,0.0009,0.6146
264,ILSVRC2012_val_00000265.JPEG,695,padlock,765,rocking_chair,0.0058,0.1544
266,ILSVRC2012_val_00000267.JPEG,925,consomme,959,carbonara,0.0025,0.5925
267,ILSVRC2012_val_00000268.JPEG,413,assault_rifle,866,tractor,0.0522,0.0913
268,ILSVRC2012_val_00000269.JPEG,250,Siberian_husky,279,Arctic_fox,0.0265,0.1696
269,ILSVRC2012_val_00000270.JPEG,970,alp,645,maypole,0.0624,0.2658
273,ILSVRC2012_val_00000274.JPEG,920,traffic_light,607,jack-o'-lantern,0.0094,0.0838
274,ILSVRC2012_val_00000275.JPEG,761,remote_control,168,redbone,0.0025,0.0405
275,ILSVRC2012_val_00000276.JPEG,27,eft,31,tree_frog,0.076,0.6869
276,ILSVRC2012_val_00000277.JPEG,676,muzzle,691,oxygen_mask,0.0024,0.1455
278,ILSVRC2012_val_00000279.JPEG,194,Dandie_Dinmont,348,ram,0.0027,0.1343
284,ILSVRC2012_val_00000285.JPEG,906,Windsor_tie,457,bow_tie,0.0323,0.4379
285,ILSVRC2012_val_00000286.JPEG,899,water_jug,572,goblet,0.0211,0.187
288,ILSVRC2012_val_00000289.JPEG,403,aircraft_carrier,847,tank,0.1069,0.14
289,ILSVRC2012_val_00000290.JPEG,826,stopwatch,531,digital_watch,0.2032,0.7926
290,ILSVRC2012_val_00000291.JPEG,869,trench_coat,451,bolo_tie,0.1369,0.1879
291,ILSVRC2012_val_00000292.JPEG,730,plow,856,thresher,0.0086,0.8127
292,ILSVRC2012_val_00000293.JPEG,0,tench,395,gar,0.2636,0.4067
294,ILSVRC2012_val_00000295.JPEG,580,greenhouse,738,pot,0.101,0.6448
295,ILSVRC2012_val_00000296.JPEG,888,viaduct,718,pier,0.0005,0.9343
296,ILSVRC2012_val_00000297.JPEG,43,frilled_lizard,39,common_iguana,0.0204,0.3856
300,ILSVRC2012_val_00000301.JPEG,329,sea_cucumber,305,dung_beetle,0.0148,0.1277
301,ILSVRC2012_val_00000302.JPEG,469,caldron,926,hot_pot,0.0408,0.4402
302,ILSVRC2012_val_00000303.JPEG,292,tiger,290,jaguar,0.0,0.7715
304,ILSVRC2012_val_00000305.JPEG,591,handkerchief,549,envelope,0.0874,0.2438
309,ILSVRC2012_val_00000310.JPEG,784,screwdriver,891,waffle_iron,0.0001,0.1528
310,ILSVRC2012_val_00000311.JPEG,572,goblet,795,ski,0.0463,0.0848
311,ILSVRC2012_val_00000312.JPEG,389,barracouta,4,hammerhead,0.0001,0.7031
313,ILSVRC2012_val_00000314.JPEG,654,minibus,436,beach_wagon,0.097,0.3757
314,ILSVRC2012_val_00000315.JPEG,420,banjo,558,flute,0.0703,0.1033
316,ILSVRC2012_val_00000317.JPEG,702,parallel_bars,405,airship,0.0043,0.264
319,ILSVRC2012_val_00000320.JPEG,949,strawberry,954,banana,0.0336,0.2915
320,ILSVRC2012_val_00000321.JPEG,508,computer_keyboard,810,space_bar,0.4711,0.4939
326,ILSVRC2012_val_00000327.JPEG,165,black-and-tan_coonhound,234,Rottweiler,0.0267,0.5344
328,ILSVRC2012_val_00000329.JPEG,7,cock,8,hen,0.4121,0.5583
330,ILSVRC2012_val_00000331.JPEG,760,refrigerator,799,sliding_door,0.0031,0.4587
332,ILSVRC2012_val_00000333.JPEG,254,pug,182,Border_terrier,0.141,0.2272
333,ILSVRC2012_val_00000334.JPEG,733,pole,702,parallel_bars,0.0046,0.2403
334,ILSVRC2012_val_00000335.JPEG,707,pay-phone,637,mailbox,0.4436,0.4891
336,ILSVRC2012_val_00000337.JPEG,60,night_snake,61,boa_constrictor,0.0137,0.4984
337,ILSVRC2012_val_00000338.JPEG,887,vestment,735,poncho,0.0427,0.1295
338,ILSVRC2012_val_00000339.JPEG,531,digital_watch,632,loudspeaker,0.0,0.2966
341,ILSVRC2012_val_00000342.JPEG,305,dung_beetle,300,tiger_beetle,0.453,0.5236
342,ILSVRC2012_val_00000343.JPEG,355,llama,105,koala,0.0843,0.2996
344,ILSVRC2012_val_00000345.JPEG,818,spotlight,745,projector,0.0104,0.2355
345,ILSVRC2012_val_00000346.JPEG,495,china_cabinet,760,refrigerator,0.0011,0.8776
350,ILSVRC2012_val_00000351.JPEG,904,window_screen,905,window_shade,0.3092,0.4067
352,ILSVRC2012_val_00000353.JPEG,481,cassette,487,cellular_telephone,0.1414,0.2014
357,ILSVRC2012_val_00000358.JPEG,460,breakwater,976,promontory,0.0128,0.4489
359,ILSVRC2012_val_00000360.JPEG,696,paintbrush,297,sloth_bear,0.0008,0.161
363,ILSVRC2012_val_00000364.JPEG,637,mailbox,571,gas_pump,0.1098,0.1885
369,ILSVRC2012_val_00000370.JPEG,91,coucal,80,black_grouse,0.3812,0.6171
375,ILSVRC2012_val_00000376.JPEG,488,chain,708,pedestal,0.0018,0.5639
376,ILSVRC2012_val_00000377.JPEG,786,sewing_machine,875,trombone,0.0013,0.0886
378,ILSVRC2012_val_00000379.JPEG,192,cairn,233,Bouvier_des_Flandres,0.0155,0.3345
379,ILSVRC2012_val_00000380.JPEG,834,suit,879,umbrella,0.0148,0.0834
380,ILSVRC2012_val_00000381.JPEG,879,umbrella,610,jersey,0.0069,0.2071
384,ILSVRC2012_val_00000385.JPEG,630,Loafer,703,park_bench,0.0037,0.563
388,ILSVRC2012_val_00000389.JPEG,134,crane,132,American_egret,0.0511,0.0809
394,ILSVRC2012_val_00000395.JPEG,74,garden_spider,73,barn_spider,0.4445,0.4789
397,ILSVRC2012_val_00000398.JPEG,383,Madagascar_cat,853,thatch,0.0008,0.0979
399,ILSVRC2012_val_00000400.JPEG,419,Band_Aid,934,hotdog,0.0198,0.3037
401,ILSVRC2012_val_00000402.JPEG,484,catamaran,871,trimaran,0.3547,0.5305
407,ILSVRC2012_val_00000408.JPEG,998,ear,987,corn,0.2037,0.7963
412,ILSVRC2012_val_00000413.JPEG,836,sunglass,671,mountain_bike,0.0009,0.2147
415,ILSVRC2012_val_00000416.JPEG,856,thresher,646,maze,0.0212,0.2418
417,ILSVRC2012_val_00000418.JPEG,319,dragonfly,311,grasshopper,0.2408,0.2549
424,ILSVRC2012_val_00000425.JPEG,265,toy_poodle,266,miniature_poodle,0.2336,0.6155
425,ILSVRC2012_val_00000426.JPEG,638,maillot,639,maillot,0.1614,0.7677
426,ILSVRC2012_val_00000427.JPEG,619,lampshade,883,vase,0.0317,0.3663
432,ILSVRC2012_val_00000433.JPEG,885,velvet,38,banded_gecko,0.0,0.4405
433,ILSVRC2012_val_00000434.JPEG,675,moving_van,867,trailer_truck,0.0424,0.8891
434,ILSVRC2012_val_00000435.JPEG,636,mailbag,748,purse,0.4564,0.5133
435,ILSVRC2012_val_00000436.JPEG,196,miniature_schnauzer,252,affenpinscher,0.2005,0.5662
437,ILSVRC2012_val_00000438.JPEG,721,pillow,610,jersey,0.0278,0.1109
442,ILSVRC2012_val_00000443.JPEG,944,artichoke,946,cardoon,0.3723,0.5394
445,ILSVRC2012_val_00000446.JPEG,361,skunk,138,bustard,0.1144,0.3095
446,ILSVRC2012_val_00000447.JPEG,361,skunk,223,schipperke,0.1373,0.2702
449,ILSVRC2012_val_00000450.JPEG,257,Great_Pyrenees,208,Labrador_retriever,0.0592,0.7643
455,ILSVRC2012_val_00000456.JPEG,346,water_buffalo,649,megalith,0.0061,0.418
456,ILSVRC2012_val_00000457.JPEG,153,Maltese_dog,194,Dandie_Dinmont,0.2263,0.2487
458,ILSVRC2012_val_00000459.JPEG,414,backpack,797,sleeping_bag,0.0381,0.3664
460,ILSVRC2012_val_00000461.JPEG,940,spaghetti_squash,997,bolete,0.0934,0.2809
463,ILSVRC2012_val_00000464.JPEG,849,teapot,868,tray,0.0756,0.26
464,ILSVRC2012_val_00000465.JPEG,712,Petri_dish,967,espresso,0.004,0.238
466,ILSVRC2012_val_00000467.JPEG,546,electric_guitar,917,comic_book,0.2218,0.2587
467,ILSVRC2012_val_00000468.JPEG,744,projectile,657,missile,0.2311,0.3486
468,ILSVRC2012_val_00000469.JPEG,764,rifle,875,trombone,0.0162,0.1357
478,ILSVRC2012_val_00000479.JPEG,875,trombone,641,maraca,0.0262,0.1382
483,ILSVRC2012_val_00000484.JPEG,987,corn,998,ear,0.165,0.8345
487,ILSVRC2012_val_00000488.JPEG,662,modem,754,radio,0.115,0.1155
499,ILSVRC2012_val_00000500.JPEG,175,otterhound,177,Scottish_deerhound,0.0335,0.669
500,ILSVRC2012_val_00000501.JPEG,270,white_wolf,269,timber_wolf,0.2711,0.5215
501,ILSVRC2012_val_00000502.JPEG,335,fox_squirrel,331,hare,0.2624,0.3608
502,ILSVRC2012_val_00000503.JPEG,532,dining_table,470,candle,0.1332,0.1568
504,ILSVRC2012_val_00000505.JPEG,607,jack-o'-lantern,530,digital_clock,0.1664,0.7734
506,ILSVRC2012_val_00000507.JPEG,222,kuvasz,296,ice_bear,0.2559,0.4717
508,ILSVRC2012_val_00000509.JPEG,982,groom,576,gondola,0.0,0.9121
509,ILSVRC2012_val_00000510.JPEG,304,leaf_beetle,301,ladybug,0.0553,0.9384
511,ILSVRC2012_val_00000512.JPEG,56,king_snake,38,banded_gecko,0.2457,0.4614
512,ILSVRC2012_val_00000513.JPEG,868,tray,659,mixing_bowl,0.0503,0.3255
513,ILSVRC2012_val_00000514.JPEG,448,birdhouse,919,street_sign,0.0502,0.3543
514,ILSVRC2012_val_00000515.JPEG,744,projectile,657,missile,0.1474,0.2823
515,ILSVRC2012_val_00000516.JPEG,567,frying_pan,891,waffle_iron,0.018,0.1154
516,ILSVRC2012_val_00000517.JPEG,277,red_fox,278,kit_fox,0.1186,0.8791
517,ILSVRC2012_val_00000518.JPEG,298,mongoose,9,ostrich,0.047,0.358
518,ILSVRC2012_val_00000519.JPEG,651,microwave,688,oscilloscope,0.0015,0.5482
519,ILSVRC2012_val_00000520.JPEG,377,marmoset,359,black-footed_ferret,0.0201,0.6575
529,ILSVRC2012_val_00000530.JPEG,269,timber_wolf,260,chow,0.0164,0.1889
530,ILSVRC2012_val_00000531.JPEG,238,Greater_Swiss_Mountain_dog,241,EntleBucher,0.062,0.8429
531,ILSVRC2012_val_00000532.JPEG,498,cinema,919,street_sign,0.0997,0.1668
533,ILSVRC2012_val_00000534.JPEG,521,Crock_Pot,926,hot_pot,0.1663,0.5443
534,ILSVRC2012_val_00000535.JPEG,830,stretcher,546,electric_guitar,0.0333,0.1182
540,ILSVRC2012_val_00000541.JPEG,48,Komodo_dragon,49,African_crocodile,0.0314,0.257
541,ILSVRC2012_val_00000542.JPEG,542,drumstick,779,school_bus,0.0157,0.0607
542,ILSVRC2012_val_00000543.JPEG,961,dough,930,French_loaf,0.0599,0.5504
543,ILSVRC2012_val_00000544.JPEG,820,steam_locomotive,627,limousine,0.1256,0.404
545,ILSVRC2012_val_00000546.JPEG,114,slug,113,snail,0.0195,0.2593
548,ILSVRC2012_val_00000549.JPEG,691,oxygen_mask,541,drum,0.0007,0.1303
554,ILSVRC2012_val_00000555.JPEG,875,trombone,424,barbershop,0.0061,0.1266
556,ILSVRC2012_val_00000557.JPEG,482,cassette_player,709,pencil_box,0.0124,0.0951
557,ILSVRC2012_val_00000558.JPEG,464,buckle,745,projector,0.0085,0.1205
560,ILSVRC2012_val_00000561.JPEG,860,tobacco_shop,409,analog_clock,0.0012,0.6337
563,ILSVRC2012_val_00000564.JPEG,499,cleaver,784,screwdriver,0.0056,0.3049
564,ILSVRC2012_val_00000565.JPEG,338,guinea_pig,456,bow,0.0005,0.1031
565,ILSVRC2012_val_00000566.JPEG,488,chain,546,electric_guitar,0.0016,0.2358
567,ILSVRC2012_val_00000568.JPEG,795,ski,537,dogsled,0.1331,0.6702
573,ILSVRC2012_val_00000574.JPEG,928,ice_cream,927,trifle,0.0105,0.7097
577,ILSVRC2012_val_00000578.JPEG,149,dugong,329,sea_cucumber,0.0558,0.4529
579,ILSVRC2012_val_00000580.JPEG,480,cash_machine,860,tobacco_shop,0.0261,0.4487
580,ILSVRC2012_val_00000581.JPEG,325,sulphur_butterfly,319,dragonfly,0.1767,0.2328
581,ILSVRC2012_val_00000582.JPEG,499,cleaver,596,hatchet,0.0027,0.5503
582,ILSVRC2012_val_00000583.JPEG,834,suit,982,groom,0.2466,0.3
583,ILSVRC2012_val_00000584.JPEG,421,bannister,506,coil,0.0002,0.9841
588,ILSVRC2012_val_00000589.JPEG,740,power_drill,792,shovel,0.013,0.1219
591,ILSVRC2012_val_00000592.JPEG,295,American_black_bear,297,sloth_bear,0.1677,0.7565
592,ILSVRC2012_val_00000593.JPEG,129,spoonbill,132,American_egret,0.418,0.454
593,ILSVRC2012_val_00000594.JPEG,240,Appenzeller,238,Greater_Swiss_Mountain_dog,0.1185,0.5513
597,ILSVRC2012_val_00000598.JPEG,899,water_jug,898,water_bottle,0.0037,0.7648
599,ILSVRC2012_val_00000600.JPEG,288,leopard,290,jaguar,0.2898,0.7078
600,ILSVRC2012_val_00000601.JPEG,450,bobsled,802,snowmobile,0.0683,0.2483
602,ILSVRC2012_val_00000603.JPEG,227,kelpie,264,Cardigan,0.012,0.9115
603,ILSVRC2012_val_00000604.JPEG,273,dingo,186,Norwich_terrier,0.0707,0.5886
605,ILSVRC2012_val_00000606.JPEG,965,burrito,934,hotdog,0.0828,0.1492
607,ILSVRC2012_val_00000608.JPEG,643,mask,691,oxygen_mask,0.0054,0.4017
611,ILSVRC2012_val_00000612.JPEG,186,Norwich_terrier,192,cairn,0.1435,0.5136
613,ILSVRC2012_val_00000614.JPEG,776,sax,645,maypole,0.0058,0.5533
614,ILSVRC2012_val_00000615.JPEG,775,sarong,642,marimba,0.0333,0.1953
616,ILSVRC2012_val_00000617.JPEG,333,hamster,797,sleeping_bag,0.0945,0.1722
620,ILSVRC2012_val_00000621.JPEG,744,projectile,657,missile,0.3274,0.4822
621,ILSVRC2012_val_00000622.JPEG,777,scabbard,764,rifle,0.0153,0.4722
626,ILSVRC2012_val_00000627.JPEG,848,tape_player,757,recreational_vehicle,0.0131,0.1264
627,ILSVRC2012_val_00000628.JPEG,102,echidna,334,porcupine,0.4584,0.533
628,ILSVRC2012_val_00000629.JPEG,790,shopping_basket,791,shopping_cart,0.023,0.9703
634,ILSVRC2012_val_00000635.JPEG,242,boxer,172,whippet,0.3703,0.4086
635,ILSVRC2012_val_00000636.JPEG,600,hook,677,nail,0.0384,0.3832
641,ILSVRC2012_val_00000642.JPEG,338,guinea_pig,298,mongoose,0.0001,0.3587
642,ILSVRC2012_val_00000643.JPEG,216,clumber,215,Brittany_spaniel,0.29,0.5404
643,ILSVRC2012_val_00000644.JPEG,331,hare,348,ram,0.0183,0.4271
645,ILSVRC2012_val_00000646.JPEG,959,carbonara,923,plate,0.0168,0.3903
646,ILSVRC2012_val_00000647.JPEG,605,iPod,504,coffee_mug,0.0142,0.22
651,ILSVRC2012_val_00000652.JPEG,718,pier,706,patio,0.001,0.1584
653,ILSVRC2012_val_00000654.JPEG,440,beer_bottle,594,harp,0.0004,0.6636
654,ILSVRC2012_val_00000655.JPEG,104,wallaby,278,kit_fox,0.276,0.3885
658,ILSVRC2012_val_00000659.JPEG,609,jeep,404,airliner,0.003,0.1202
659,ILSVRC2012_val_00000660.JPEG,620,laptop,526,desk,0.1615,0.211
660,ILSVRC2012_val_00000661.JPEG,341,hog,155,Shih-Tzu,0.0004,0.3724
661,ILSVRC2012_val_00000662.JPEG,579,grand_piano,881,upright,0.2192,0.7542
663,ILSVRC2012_val_00000664.JPEG,628,liner,705,passenger_car,0.2325,0.2893
665,ILSVRC2012_val_00000666.JPEG,878,typewriter_keyboard,526,desk,0.0003,0.0896
666,ILSVRC2012_val_00000667.JPEG,763,revolver,512,corkscrew,0.0758,0.2959
667,ILSVRC2012_val_00000668.JPEG,209,Chesapeake_Bay_retriever,273,dingo,0.0011,0.605
670,ILSVRC2012_val_00000671.JPEG,864,tow_truck,555,fire_engine,0.119,0.4629
676,ILSVRC2012_val_00000677.JPEG,681,notebook,916,web_site,0.0042,0.8073
677,ILSVRC2012_val_00000678.JPEG,512,corkscrew,643,mask,0.005,0.1197
679,ILSVRC2012_val_00000680.JPEG,668,mosque,303,long-horned_beetle,0.0004,0.3862
680,ILSVRC2012_val_00000681.JPEG,699,panpipe,776,sax,0.034,0.1127
682,ILSVRC2012_val_00000683.JPEG,46,green_lizard,89,sulphur-crested_cockatoo,0.1065,0.1427
683,ILSVRC2012_val_00000684.JPEG,618,ladle,563,fountain_pen,0.0043,0.1328
686,ILSVRC2012_val_00000687.JPEG,427,barrel,408,amphibian,0.0002,0.1252
687,ILSVRC2012_val_00000688.JPEG,62,rock_python,61,boa_constrictor,0.094,0.8369
697,ILSVRC2012_val_00000698.JPEG,534,dishwasher,887,vestment,0.0074,0.1202
698,ILSVRC2012_val_00000699.JPEG,397,puffer,396,lionfish,0.0001,0.9998
699,ILSVRC2012_val_00000700.JPEG,657,missile,594,harp,0.0764,0.2166
